File,MUESTRA_0_30_23.csv,
Date/Time,23-02-17/13:41,

Center Wavelength,1471.1,nm
Span Wavelength,557.6,nm
Start Wavelength,1192.3,nm
Stop Wavelength,1749.9,nm
Value In Air/Vacuum,Vacuum,
Optical Attenuater,Off,
Resolution,0.5,nm
Actual Resolution,0.494,nm
VBW,2000,Hz
Point Average,Off,
Sweep Average,1,
Smooth,Off,
Sampling Points,2001,pt
Trace Type,Write,
Trace Storage Mode,Off,
Trace Calculate Trace 1,-,
Trace Calculate Trace 2,-,
Dynamic Range,Normal,
Ext-Trigger,Off,
Interval Time,Off,
MM Mode,Off,

Trace,A
Start,1192.3,nm
Stop,1749.9,nm
1192.300000,1.7430E-007
1192.578800,1.6370E-007
1192.857600,1.4650E-007
1193.136400,2.1730E-007
1193.415200,2.0640E-007
1193.694000,1.2910E-007
1193.972800,1.4310E-007
1194.251600,1.7640E-007
1194.530400,1.9640E-007
1194.809200,1.9460E-007
1195.088000,1.6980E-007
1195.366800,1.4210E-007
1195.645600,2.2320E-007
1195.924400,1.5280E-007
1196.203200,2.0740E-007
1196.482000,1.5900E-007
1196.760800,1.6610E-007
1197.039600,1.6830E-007
1197.318400,1.5560E-007
1197.597200,1.9470E-007
1197.876000,1.8740E-007
1198.154800,1.7170E-007
1198.433600,1.6420E-007
1198.712400,1.9540E-007
1198.991200,1.7030E-007
1199.270000,2.1700E-007
1199.548800,1.2560E-007
1199.827600,1.6100E-007
1200.106400,1.8100E-007
1200.385200,1.4270E-007
1200.664000,1.9680E-007
1200.942800,1.5090E-007
1201.221600,1.6410E-007
1201.500400,1.6680E-007
1201.779200,1.4680E-007
1202.058000,1.7780E-007
1202.336800,1.9090E-007
1202.615600,1.8280E-007
1202.894400,1.6780E-007
1203.173200,1.2250E-007
1203.452000,1.9570E-007
1203.730800,1.6850E-007
1204.009600,1.8650E-007
1204.288400,1.6470E-007
1204.567200,1.8210E-007
1204.846000,1.3610E-007
1205.124800,2.3400E-007
1205.403600,2.0070E-007
1205.682400,1.2260E-007
1205.961200,1.2350E-007
1206.240000,1.7450E-007
1206.518800,1.5730E-007
1206.797600,1.7400E-007
1207.076400,1.4240E-007
1207.355200,1.5500E-007
1207.634000,1.8240E-007
1207.912800,1.6170E-007
1208.191600,1.6790E-007
1208.470400,1.7810E-007
1208.749200,1.8980E-007
1209.028000,1.9570E-007
1209.306800,1.9800E-007
1209.585600,1.8030E-007
1209.864400,1.7800E-007
1210.143200,1.3580E-007
1210.422000,1.7470E-007
1210.700800,1.5030E-007
1210.979600,2.0190E-007
1211.258400,1.6630E-007
1211.537200,1.9920E-007
1211.816000,1.7920E-007
1212.094800,1.6850E-007
1212.373600,1.7970E-007
1212.652400,1.4210E-007
1212.931200,2.0470E-007
1213.210000,1.5840E-007
1213.488800,1.9500E-007
1213.767600,1.4830E-007
1214.046400,1.5840E-007
1214.325200,1.5430E-007
1214.604000,1.3810E-007
1214.882800,1.7550E-007
1215.161600,1.7290E-007
1215.440400,2.0370E-007
1215.719200,1.2400E-007
1215.998000,1.6200E-007
1216.276800,1.7470E-007
1216.555600,1.6720E-007
1216.834400,1.4570E-007
1217.113200,1.8120E-007
1217.392000,1.3470E-007
1217.670800,1.8270E-007
1217.949600,1.8850E-007
1218.228400,2.1710E-007
1218.507200,2.0680E-007
1218.786000,1.3320E-007
1219.064800,1.5070E-007
1219.343600,2.0530E-007
1219.622400,1.7350E-007
1219.901200,1.3960E-007
1220.180000,1.2350E-007
1220.458800,2.0200E-007
1220.737600,1.4590E-007
1221.016400,1.7390E-007
1221.295200,1.9500E-007
1221.574000,1.6050E-007
1221.852800,1.3560E-007
1222.131600,1.8770E-007
1222.410400,1.8450E-007
1222.689200,2.2820E-007
1222.968000,1.6490E-007
1223.246800,2.0030E-007
1223.525600,1.0330E-007
1223.804400,1.8680E-007
1224.083200,1.7810E-007
1224.362000,1.5970E-007
1224.640800,1.5680E-007
1224.919600,1.8330E-007
1225.198400,1.6660E-007
1225.477200,1.6320E-007
1225.756000,1.7550E-007
1226.034800,1.7530E-007
1226.313600,1.4900E-007
1226.592400,1.4340E-007
1226.871200,1.7670E-007
1227.150000,1.8670E-007
1227.428800,1.3160E-007
1227.707600,1.6190E-007
1227.986400,1.2740E-007
1228.265200,1.6120E-007
1228.544000,1.9430E-007
1228.822800,1.6180E-007
1229.101600,1.2710E-007
1229.380400,1.2110E-007
1229.659200,1.8140E-007
1229.938000,1.3360E-007
1230.216800,1.9620E-007
1230.495600,1.4580E-007
1230.774400,1.4400E-007
1231.053200,1.6490E-007
1231.332000,1.4940E-007
1231.610800,1.4480E-007
1231.889600,1.7850E-007
1232.168400,2.0140E-007
1232.447200,1.8400E-007
1232.726000,1.8480E-007
1233.004800,1.5870E-007
1233.283600,1.8690E-007
1233.562400,1.2030E-007
1233.841200,1.4880E-007
1234.120000,1.2620E-007
1234.398800,1.7670E-007
1234.677600,1.6790E-007
1234.956400,1.3440E-007
1235.235200,1.5470E-007
